Provincie,Dagblad,Heraut,Dubieus,Totaal,Tegenwoordig
Amsterdam,815,128,83,1026,344
Noord-Holland,109,61,11,181,80
Zuid-Holland,684,207,71,962,296
Zeeland,87,25,11,123,39
Noord-Brabant,73,19,10,102,29
Gelderland,175,95,11,281,126
Utrecht,157,75,14,246,100
Overijssel,63,59,11,133,69
Drenthe,31,11,2,44,13
Groningen,100,35,10,145,50
Friesland,210,53,19,282,80
